월,캠페인,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-02,01.홈캠_PC@naver_shoppingsearch,2859252,235100,1860,270,6002020,2.0991574020058392,0.007911527009783072,0.14516129032258066
2025-02,02.로봇청소기_메인_MO@naver_powerlink,792594,763752,824,2,0,0.0,0.0010788842451476396,0.0024271844660194173
2025-02,02.로봇청소기_메인_PC@naver_powerlink,170808,631814,210,12,0,0.0,0.0003323763006201192,0.05714285714285714
2025-02,02.로봇청소기_확장_MO@naver_powerlink,119042,18802,268,2,0,0.0,0.01425380278693756,0.007462686567164179
2025-02,02.로봇청소기_확장_PC@naver_powerlink,180532,28300,140,14,1828000,10.125628697405446,0.0049469964664310955,0.1
2025-02,02.커튼_MO@naver_shoppingsearch,506330,139686,726,4,31800,0.06280489009144234,0.005197371246939564,0.005509641873278237
2025-02,02.커튼_PC@naver_shoppingsearch,642796,139066,498,4,169600,0.263847317033709,0.0035810334661239987,0.008032128514056224
2025-02,03.반려_메인_MO@naver_powerlink,1576982,126120,1432,270,2760800,1.750685803642654,0.011354265778623533,0.18854748603351956
2025-02,03.반려_메인_PC@naver_powerlink,188122,61632,226,18,645800,3.432878663845802,0.003666926272066459,0.07964601769911504
2025-02,03.반려_확장_MO@naver_powerlink,759264,40928,816,196,4305000,5.669964597294221,0.0199374511336982,0.24019607843137256
2025-02,03.반려_확장_PC@naver_powerlink,212608,20382,210,22,727800,3.4232013847080074,0.010303208713570797,0.10476190476190476
2025-02,03.조명_MO@naver_shoppingsearch,1028280,214566,1208,112,2475600,2.4075154627144357,0.005629969333445187,0.09271523178807947
2025-02,03.조명_PC@naver_shoppingsearch,301972,217946,336,70,1111200,3.679811373239903,0.0015416662843089574,0.20833333333333334
2025-02,04.리모컨허브_메인_MO@naver_powerlink,25300,33928,96,10,79400,3.1383399209486167,0.0028295213393067674,0.10416666666666667
2025-02,04.리모컨허브_메인_PC@naver_powerlink,7414,29550,40,2,39800,5.36822228216887,0.0013536379018612521,0.05
2025-02,04.센서_PC@naver_shoppingsearch,381172,70766,486,22,59800,0.15688455605343518,0.006867704830003108,0.04526748971193416
2025-02,05.전원_MO@naver_shoppingsearch,1747262,106732,2196,632,9987780,5.716246332833885,0.02057489787505153,0.2877959927140255
2025-02,05.전원_PC@naver_shoppingsearch,756426,68746,698,90,1803200,2.3838419091887375,0.010153318011229744,0.12893982808022922
2025-02,05.커튼set_메인_MO@naver_powerlink,4745840,384464,3408,298,5201800,1.096075721052543,0.00886428898414416,0.08744131455399061
2025-02,05.커튼set_메인_PC@naver_powerlink,810766,126880,584,40,1108200,1.3668555415495962,0.004602774274905423,0.0684931506849315
2025-02,05.커튼set_확장_MO@naver_powerlink,32604,2896,94,4,0,0.0,0.0324585635359116,0.0425531914893617
2025-02,05.커튼set_확장_PC@naver_powerlink,28776,1288,46,0,0,0.0,0.03571428571428571,0.0
2025-02,06.멀티탭_메인_MO@naver_powerlink,64064,81168,86,0,0,0.0,0.0010595308495958999,0.0
2025-02,06.멀티탭_메인_PC@naver_powerlink,248424,243498,290,40,269200,1.0836312111551218,0.0011909748745369572,0.13793103448275862
2025-02,07.반려_MO@naver_shoppingsearch,4828912,245010,3100,604,15686600,3.2484750188034073,0.012652544794090037,0.19483870967741934
2025-02,07.반려_PC@naver_shoppingsearch,662024,481948,470,54,848000,1.2809203291723563,0.0009752089437034701,0.1148936170212766
2025-02,08.리빙_MO@naver_shoppingsearch,150106,46560,322,70,1516200,10.10086205747938,0.006915807560137457,0.21739130434782608
2025-02,08.리빙_PC@naver_shoppingsearch,7304,7018,14,0,0,0.0,0.001994870333428327,0.0
2025-02,08.전원_메인_MO@naver_powerlink,68992,10738,168,2,99600,1.4436456400742115,0.01564537157757497,0.011904761904761904
2025-02,08.전원_메인_PC@naver_powerlink,33242,16530,88,20,213400,6.41958967571145,0.005323653962492438,0.22727272727272727
2025-02,08.전원_확장_MO@naver_powerlink,2948,1108,10,0,0,0.0,0.009025270758122744,0.0
2025-02,08.전원_확장_PC@naver_powerlink,4862,648,20,0,0,0.0,0.030864197530864196,0.0
2025-02,09.로청_MO@naver_shoppingbrand,32340,20820,98,0,0,0.0,0.004707012487992315,0.0
2025-02,09.로청_PC@naver_shoppingbrand,7722,12890,22,0,0,0.0,0.0017067494181536075,0.0
2025-02,09.센서_메인_MO@naver_powerlink,31548,4084,88,56,514400,16.305312539622165,0.021547502448579822,0.6363636363636364
2025-02,09.센서_메인_PC@naver_powerlink,15114,2716,38,22,0,0.0,0.013991163475699559,0.5789473684210527
